Model,Make,count
AR15-A3-LWRFOR-UM,Anderson,1
AR15A3,Gen 2,1
AT-15,ARIMUS Tactical,1
ati omni hybrid,American Tactical,1
atiglow200,ATI,1
BAD556,Battle Arms Development,1
BAD556-LW,Battle Arms Development,1
Badger,Spikes Tactical,1
Bailos-Lite,2A Armament,1
balios-lite,2A Armament,1
BCA15,Bear Creek Aresnal,1
BDR1530,F-1 Firearms,1
BP15,BPM Inc,1
BRN 16A1,Brownells,1
c15 sporter,century arms inc,1
calico jack,Spikes Tactical,1
Calico Jack Logo,Spikes Tactical,1
Cav-15 MKII,GWACS Armory,1
CAV15 MK II,GWACS Armory,1
Classic,KIDD,1
Compact,Glock,1
Core15,Core15,1
CPX-1,SCCY,1
Crusader,SPIKE TACTIAL,1
Crusader-15,SSG Tactical,1
CSR15,Colts Mfg,1
CT-15,CORMAC ENTERPRISE,1
Delphi -15,Delphi Tactical,1
DR-15,Delta Custom Firearm,1
Eagle 15,Egale Arms,1
Eagle15,Eagle Arms,1
erma,erma,1
FALLOUT 15,BLACK RAIN,1
far 15,Fulton Armory,1
FAR-15,Fulton Armory,1
FAR-15,us rifle,1
fp-15,fedarm,1
Frame,"Accuracy, Inc.",1
Frame,DANGER CLOSE,1
Frame,Del-Ton,1
Frame,DPMS,1
Frame,"Fusion Firearms, Inc.",1
Frame,Sturm Ruger,1
FX 45 Military 1911,American Tactical,1
FX GI 1911,American Tactical,1
G1-15,Primary Arms,1
G10LR,Gibbz Arms,1
G15,Aero Precision LLC,1
GB-10B,Go Ballistic,1
Gen 4 Glock 19,Glock,1
GF-15,Ghost Firearms,1
Glock17,Glock,1
Gm10,Gun Metal Inc,1
GPM-15,Gun Point,1
H15,Aero Precision,1
HA-15,Hanover Armory,1
Hellbreaker,spike,1
Honey Badger,Spikes,1
HR-15F,Hughes Precision Products LLC,1
j-10,Spikes Tactical,1
JACK 10,Spikes,1
kg 15,Karris Guns,1
KG15,Karrl's Guns,1
LA-SF 15,Lantac,1
la22,erma,1
Law Enforcement Carbine,Colt,1
LF-15,TK Defense,1
Libertas,Franklin Armory,1
Lightweight LE Carbine,Colt,1
LR15,Live Free Armory,1
Lt-15,LaRue tactical,1
ltb15,lanco,1
M-5 (Frame only),Aero,1
M&P-15,Smith & Wesson,1
M&P-15,smith and wesson,1
m15,Stag,1
m15 Match,Gunsmoke Enterprises,1
M16 Rifle,FN,1
m16a4,Aero Precsion,1
M1911 FRAME,Foster Industries,1
M4 Carbine Lower,Colt,1
m4e1,Aero,1
M61C,LWRC,1
MI-15B,Midwest Industries,1
MK1,Primary Weapon Systems,1
MK1 Mod 2,Primary Weapon Systems,1
Mk1 Mod2,Primary Weapon Systems,1
ML-15,Joe Bob Outfitters LLC,1
ML-15,Joe Bob Outiftters,1
ML-15,JoeBob Outfitters,1
ML-15,Spartan,1
MNM10019.7,M&M Firearms / BCI Defense,1
model stag 15,Stag Arms,1
MSR-15,SWAT Mfg. Inc.,1
Multi Cal,Bear Creek,1
Multi Caliber,Bear Creek,1
Multical,Anderson Manufacturing,1
n/a,Aero Precision,1
n/a,Palmetto,1
n/a,Spikes Tactical,1
n/a,Stag Arms,1
n/a,NA,1
nc-15,nordic,1
NDS-16A1,nodak spud,1
NDS-16A1,Nodak Spud LLC,1
NDS-16AI,nodak spud,1
OIF-15,Palmetto State Armory,1
omega 15,E3 Arms,1
Omega-15,EI Arms,1
Omni Multi caliber,American Tactical,1
pa 15,Palmetto,1
PA-10,Palmetto Sate Armory,1
PA-15,Falsetto State Armory,1
PA-15,Palematto State Armory,1
PA-15,palemtto state,1
PA-15,palemtto state armory,1
PA-15,palmento armory,1
PA-15,Palmento State Armory,1
PA-15,Palmeto State Armory,1
PA-15,Palmetto Arms,1
PA-15,palmettto state armory,1
PA-15,Paltmetto State Armory,1
PA-15,pametto state armory,1
PA-15,SOTA,1
PA-15 LOWER RECEIVER,Palmetto State Armory,1
PA16,sota arms,1
Pac-lite (receiver only),Tactical Solutions,1
palmetto,Palmetto,1
Panther Arms,DPMS,1
PF-10,Palmetto Armory,1
PF15B,precision fireamrs,1
PLR-16,Kel-Tec,1
PS-10,PalmettoState Armory,1
Rainier Arms,Rainier Arms,1
Razor ti,Lpa,1
REBEL-15,Rebel Arms,1
REBEL-15,REBEL ARMS CORP.,1
Rebel-15R,Rebel Arms,1
RF-15,Radical Firearms,1
rm15,rainer arms,1
S-15,Superor Arms,1
sa 15,sota arms,1
SA15,Scorpion Armaments,1
SA15,SOTA,1
SA15,SURPLUS AMMO,1
SBA 15,Seekins,1
SC-15,SCSG,1
SD15-ITG,Sun Devil Mfg,1
SD15-ITG,Sun Devin MFG,1
snowflake,Spikes,1
SO15,Special Opds Tactical,1
SP-15,Spikes Tactical,1
Spartan,Spikes Tactical,1
Spartan 9mm,Joe Bob Outfitters,1
Spartan Complete Lower,Spikes Tactical,1
Spartan-9mm,Joe Bob Outfitters,1
Spikes Tactical,Lower Ar-15,1
Sporter CSR15,Colt,1
Sportsman,H&R,1
SR-15,Kights Armament Company,1
SR-15,Knights Armament Comany,1
SR-15,Knights Manufacturing Company,1
SR-15,Spikes,1
St11,Spikes Tactical,1
ST15,SPIKE TACTCIAL,1
ST15,SPIKE TACTIAL,1
ST15,Spike's Tactical LLC,1
ST15,Spikes Tactiacl,1
ST15,SpikeTactical,1
ST15,Stag,1
St15 calico jack,Spikes Tactical,1
St15 crusader,Spikes Tactical,1
St15 zombie,Spikes Tactical,1
ST165,Spikes Tactical,1
stage-15,stage,1
STAR-15,double star,1
STB10,Spikes Tactical,1
STD-15,Standard Manufacturing,1
STLB510,SPIKESTACTICAL,1
STLS016,Spikes Tactical,1
STLS910,Spikes Tactical,1
sts15,Aero Precision,1
STT-15,San Tan Tactical,1
T15 BDX,tactical innovation,1
T15 BDX,TACTICAL INNOVATIONS,1
T15 BDX,Tactical Inovations,1
TAC-15,TACTICAL INNOVATIONS,1
Tactical,FH,1
The Jack,Spikes,1
The Jack,SPIKES TACTCIAL,1
TM-15,Tachtical Machining,1
TN Arms 15,tennesse arms company,1
TN Arms 15,tn arms,1
TNARM15,"Tennessee Arms Company, LLC",1
TNARMS 15,Tennessee Arms,1
TNARMS 15,TENNESSEE ARMS COMPANY,1
TNARMS15,Tennessee Arms,1
TR-1,JD Machine,1
TR-1,Taran Tactical,1
TSR15S,Triarc Systems,1
uhp 15,CMT,1
UHP15,Cross Machine Tool,1
UHP15A,Cross Machine Tool,1
UIC-15,Anderson Manufactoring,1
VMK-12,xtreme maching,1
VMK-12,XTREME MACHINING,1
vzz01,cncwarrior,1
WW-15,Windham,1
X15,aero nprecision,1
X15,aero precisiion,1
X15,Aero Precison,1
X15,AERO TECH,1
X15,AREO PRECISION LLC,1
Xanthos Billet,2A Armament,1
XM-15,XTREME MACHINING,1
XM15-E2S,Bushmaster,1
YHM-15,Yankee Hill Machine,1
